lot_id,wafer_id,process_step,timestamp,temperature,pressure,gas_flow,rf_power,exposure_dose,film_thickness,overlay_error,defect_density,anomaly_label,anomaly_type,yield_rate,suspected_root_cause
LOT_0001,W_001,Lithography,2024-01-01 00:00:00,23.09141512392633,760483.6496179213,,,25.165923036107575,,4.576956428315083,0.01793638325407149,False,normal,0.9676040150230429,No anomaly detected
LOT_0001,W_001,Etching,2024-01-01 00:30:00,59.19711880531177,10.748890499943766,90.880645724898,502.6441555359228,,984.4509392980806,,0.06618368311920592,False,normal,0.9334848009279474,No anomaly detected
LOT_0001,W_001,Deposition,2024-01-01 01:00:00,418.32107598738423,5.2785559552407815,218.16154622113802,293.69756098085634,,4955.248725959566,,0.010101592216811058,True,tool_offset,0.75153723147813,Systematic tool-to-tool offset — chamber matching recommended
LOT_0001,W_001,CMP,2024-01-01 01:30:00,23.97779020121484,3143.824660693089,,,,502.2848070425422,,0.04116746162740379,False,normal,0.9625006309577068,No anomaly detected
LOT_0001,W_001,Metrology,2024-01-01 02:00:00,22.76717826169202,760166.3858342321,,,,4493.060647758733,4.988572388132804,0.014477227514313863,False,normal,0.9671740030063444,No anomaly detected
LOT_0001,W_002,Lithography,2024-01-01 02:30:00,22.68800476812785,760758.3963285696,,,25.07467407960251,,4.052276466375829,0.01760411287366708,False,normal,0.9210843168884929,No anomaly detected
LOT_0001,W_002,Etching,2024-01-01 03:00:00,62.15504388399251,8.262241488115528,99.98829305906521,513.4868522599867,,1046.0916996699964,,0.05103366394603434,False,normal,0.9563559201459532,No anomaly detected
LOT_0001,W_002,Deposition,2024-01-01 03:30:00,415.22857976070173,5.288407448693999,195.4620791135332,319.6793627138946,,5021.739451308073,,0.040694483910554184,True,tool_offset,0.7932219980824746,Systematic tool-to-tool offset — chamber matching recommended
LOT_0001,W_002,CMP,2024-01-01 04:00:00,29.093977764579336,2909.601597563244,,,,489.20652088427005,,0.028540389873045392,False,normal,0.9681860192294142,No anomaly detected
LOT_0001,W_002,Metrology,2024-01-01 04:30:00,23.436015899230227,761004.5810097149,,,,4477.909024058628,5.952602549208717,0.032047407577514536,False,normal,0.98721009971115,No anomaly detected
LOT_0001,W_003,Lithography,2024-01-01 05:00:00,23.225135358741937,759601.5445053517,,,25.30260050678645,,4.7330636663814705,0.014426720699956427,False,normal,0.8977616370876499,No anomaly detected
LOT_0001,W_003,Etching,2024-01-01 05:30:00,63.021897202074335,9.556165858566674,109.85244982741989,477.9159407624947,,1021.2647280321349,,0.06962913969480373,False,normal,0.9368810369488042,No anomaly detected
